Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Moonlight: Unfortunately a Love Story,-2006,,Comedy,,"5,160,000",Raman Bharadwaj,Kim Sharma,Shekhar Suman,Perizaad Zorabian
Life of Pi,-2012,127 min,"Adventure, Drama, Fantasy",7.9,"591,417",Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain
3 Idiots,-2009,170 min,"Comedy, Drama",8.4,"357,889",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
Lion,-2016,118 min,"Biography, Drama",8,"220,526",Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara
Gandhi,-1982,191 min,"Biography, Drama, History",8,"220,118",Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi
The Darjeeling Limited,-2007,91 min,"Adventure, Comedy, Drama",7.2,"185,127",Wes Anderson,Owen Wilson,Adrien Brody,Jason Schwartzman
Like Stars on Earth,-2007,165 min,"Drama, Family",8.4,"175,810",Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan
PK,-2014,153 min,"Comedy, Drama, Musical",8.1,"168,150",Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt
Dangal,-2016,161 min,"Action, Biography, Drama",8.4,"165,074",Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh
Radhe,-2021,135 min,"Action, Crime, Thriller",1.8,"162,455",Prabhu Deva,Salman Khan,Disha Patani,Randeep Hooda
Dil Bechara,-2020,101 min,"Comedy, Drama, Romance",6.6,"117,377",Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid
Rang De Basanti,-2006,167 min,"Comedy, Crime, Drama",8.1,"114,446",Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth
Lagaan: Once Upon a Time in India,-2001,224 min,"Drama, Musical, Sport",8.1,"107,234",Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh
My Name Is Khan,-2010,165 min,Drama,8,"101,014",Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon
Gangs of Wasseypur,-2012,321 min,"Action, Comedy, Crime",8.2,"86,355",Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui
Swades,-2004,189 min,Drama,8.2,"85,340",Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal
Soorarai Pottru,-2020,153 min,Drama,9.1,"83,029",Sudha Kongara,Suriya,Madhavan,Paresh Rawal
The BFG,-2016,117 min,"Adventure, Family, Fantasy",6.4,"79,642",Steven Spielberg,Mark Rylance,Ruby Barnhill,Penelope Wilton
Bajrangi Bhaijaan,-2015,163 min,"Action, Adventure, Comedy",8,"78,448",Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui
The Hundred-Foot Journey,-2014,122 min,"Comedy, Drama",7.3,"78,340",Lasse Hallström,Helen Mirren,Om Puri,Manish Dayal
Andhadhun,-2018,139 min,"Crime, Drama, Music",8.2,"77,901",Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte
Barfi!,-2012,151 min,"Comedy, Drama, Romance",8.1,"77,377",Anurag Basu,Ranbir Kapoor,Priyanka Chopra Jonas,Ileana D'Cruz
Munna Bhai M.B.B.S.,-2003,156 min,"Comedy, Drama",8.1,"75,813",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh
Chak De! India,-2007,153 min,"Drama, Family, Sport",8.2,"75,790",Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge
A Wednesday,-2008,104 min,"Action, Crime, Drama",8.1,"75,118",Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
